sample_name,Date submitted,Origin
AVC4,19/01/2007,NSW
AVC5,7/03/2007,WA
AVC7,13/07/2007,VIC
AVC8,31/10/2007,NSW
AVC10,9/11/2007,NSW
AVC11,9/11/2007,NSW
AVC12,26/11/2007,VIC
AVC19,22/02/2008,NSW
AVC20,22/02/2008,NSW
AVC21,22/02/2008,NSW
AVC25,15/04/2008,NSW
AVC26,15/04/2008,NSW
AVC29,11/06/2008,VIC
AVC30,11/06/2008,VIC
AVC34,11/07/2008,NSW
AVC35,11/07/2008,NSW
AVC38,18/07/2008,NSW
AVC39,18/07/2008,NSW
AVC51,14/08/2008,NSW
AVC58,25/08/2008,
AVC59,25/08/2008,
AVC60,28/08/2008,
AVC61,28/08/2008,
AVC64,3/09/2008,NSW
AVC65,3/09/2008,NSW
AVC77,10/10/2008,WA
AVC79,14/10/2008,VIC
AVC80,27/10/2008,VIC
AVC91,9/01/2009,QLD
AVC94,9/01/2009,QLD
AVC96,9/01/2009,WA
AVC97,9/01/2009,WA
AVC98,14/01/2009,VIC
AVC103,2/02/2009,VIC
AVC105,12/03/2009,NSW
AVC106,16/03/2009,
AVC107,16/03/2009,
AVC109,16/03/2009,
AVC111,16/03/2009,VIC
AVC113,16/03/2009,VIC
AVC123,28/07/2009,NSW
AVC126,4/08/2009,NSW
AVC148,24/12/2009,
AVC149,24/12/2009,
AVC153,6/05/2010,VIC
AVC154,6/05/2010,VIC
AVC155,4/06/2010,VIC
AVC156,29/07/2010,
AVC159,27/08/2010,QLD
AVC160,27/08/2010,QLD
AVC161,27/08/2010,QLD
AVC162,27/08/2010,QLD
AVC167,10/09/2010,VIC
AVC171,27/09/2010,VIC
AVC173,5/10/2010,VIC
AVC176,3/11/2010,VIC
AVC177,3/11/2010,VIC
AVC179,1/12/2010,VIC
AVC183,22/12/2010,
AVC184,5/01/2011,VIC
AVC186,10/01/2011,VIC
AVC191,29/03/2011,
AVC193,2/05/2011,
AVC195,2/06/2011,
AVC196,7/06/2011,VIC
AVC197,7/06/2011,VIC
AVC198,9/06/2011,QLD
AVC200,9/06/2011,QLD
AVC201,27/06/2011,WA
AVC204,30/06/2011,
AVC207,18/08/2011,
AVC209,17/10/2011,NSW
AVC210,17/10/2011,NSW
AVC211,9/11/2011,VIC
AVC213,30/11/2011,VIC
AVC215,18/01/2012,VIC
AVC216,18/01/2012,VIC
AVC218,27/01/2012,VIC
AVC219,21/02/2012,VIC
AVC220,23/02/2012,VIC
AVC221,23/02/2012,VIC
AVC222,23/02/2012,VIC
AVC223,23/02/2012,VIC
AVC224,22/03/2012,VIC
AVC226,14/08/2012,
AVC227,28/11/2012,
AVC228,1/03/2013,
AVC232,23/10/2013,
AVC233,23/10/2013,
AVC234,23/10/2013,
AVC235,24/01/2014,NSW
AVC237,24/01/2014,NSW
AVC242,18/07/2014,VIC
AVC246,3/11/2014,
AVC249,17/12/2014,VIC
AVC251,27/03/2015,NSW
AVC252,27/03/2015,VIC
AVC256,22/07/2015,VIC
